"symbol","symbol","probeset","correlation","sd"
"HSPA6","HSPA6","117_at","0.0895075187969925","3.1904696364635"
"CHST3","CHST3","32094_at","0.110041353383459","3.91552784375301"
"MAFF","MAFF","36711_at","0.102003007518797","3.63169052064308"
"MRC2","MRC2","37408_at","0.0886684210526317","3.16084074743622"
"COL11A1","COL11A1","37892_at","0.230723308270677","8.1768576744896"
"MAST4","MAST4","40016_g_at","0.142343609022556","5.0561338745685"
"CALU","CALU","200755_s_at","0.0891225563909774","3.1768764544008"
"ANXA5","ANXA5","200782_at","0.0982157894736843","3.49796228226456"
"HIF1A","HIF1A","200989_at","0.0943984962406015","3.3631720765374"
"CKAP4","CKAP4","200999_s_at","0.112406015037594","3.99902502654046"
"MMP2","MMP2","201069_at","0.0986518796992481","3.51336080881996"
"THBS1","THBS1","201109_s_at","0.087709022556391","3.12696398901434"
"THBS1","THBS1","201110_s_at","0.0975368421052632","3.47398836936883"
"ITGB5","ITGB5","201125_s_at","0.108303759398496","3.85417268018485"
"BHLHB2","BHLHB2","201169_s_at","0.0848","3.02424519721635"
"ITPR3","ITPR3","201188_s_at","0.119620300751880","4.25376444429744"
"BGN","BGN","201261_x_at","0.112241353383459","3.99321075530662"
"BGN","BGN","201262_s_at","0.0884225563909774","3.15215916436102"
"---","---","201295_s_at","0.0958601503759399","3.4147836896817"
"ITGA5","ITGA5","201389_at","0.115867669172932","4.12125746836985"
"NFKBIA","NFKBIA","201502_s_at","0.104570676691729","3.7223559830339"
"CLIC4","CLIC4","201559_s_at","0.0945142857142857","3.36726065082969"
"CLIC4","CLIC4","201560_at","0.100996240601504","3.59614116364709"
"IER3","IER3","201631_s_at","0.104246616541353","3.71091328485221"
"IFNGR2","IFNGR2","201642_at","0.0934022556390977","3.32799440811343"
"TNC","TNC","201645_at","0.129389473684211","4.59871798832207"
"TIMP1","TIMP1","201666_at","0.106716541353383","3.79812735335994"
"RELA","RELA","201783_s_at","0.117209774436090","4.16864776130327"
"RYBP","RYBP","201845_s_at","0.0894345864661654","3.18789436564303"
"NR3C1","NR3C1","201866_s_at","0.0952631578947368","3.39370363781103"
"MPZL1","MPZL1","201875_s_at","0.0884443609022556","3.15292909068879"
"PTPN12","PTPN12","202006_at","0.0922007518796992","3.28556881253494"
"EXT2","EXT2","202012_s_at","0.112281954887218","3.99464441122728"
"EXT2","EXT2","202013_s_at","0.112638345864662","4.00722872430878"
"BIRC2","BIRC2","202076_at","0.137533082706767","4.88627219715225"
"KIAA0247","KIAA0247","202181_at","0.0890428571428571","3.17406224092688"
"ARFGAP3","ARFGAP3","202211_at","0.102824812030075","3.66070877844488"
"COL1A1","COL1A1","202310_s_at","0.0896533834586466","3.19562017810444"
"COL1A1","COL1A1","202311_s_at","0.105941353383459","3.77075514494856"
"TRAM2","TRAM2","202369_s_at","0.0867203007518797","3.09205181242753"
"SEC24D","SEC24D","202375_at","0.0995624060150376","3.54551187030028"
"COL1A2","COL1A2","202403_s_at","0.0909466165413534","3.24128477409631"
"COL1A2","COL1A2","202404_s_at","0.0921225563909775","3.28280769742845"
"NOTCH2","NOTCH2","202443_x_at","0.0914007518796993","3.2573204810609"
"PCOLCE","PCOLCE","202465_at","0.0895721804511278","3.19275286626309"
"STCH","STCH","202558_s_at","0.0908458646616542","3.23772718347834"
"PLOD2","PLOD2","202619_s_at","0.0992466165413533","3.53436121313947"
"PLOD2","PLOD2","202620_s_at","0.0912052631578947","3.25041769329468"
"ICAM1","ICAM1","202637_s_at","0.199376691729323","7.06999565617736"
"ICAM1","ICAM1","202638_s_at","0.207199248120301","7.34621336356075"
"SERTAD2","SERTAD2","202656_s_at","0.124796240601504","4.43652902499978"
"SERTAD2","SERTAD2","202657_s_at","0.129351879699248","4.59739052913624"
"AXL","AXL","202686_s_at","0.0844428571428571","3.01163433495115"
"FMOD","FMOD","202709_at","0.137718045112782","4.89280329634643"
"LTBP1","LTBP1","202728_s_at","0.09903984962406","3.52706018761751"
"LTBP1","LTBP1","202729_s_at","0.0982864661654135","3.50045790553388"
"GPC1","GPC1","202755_s_at","0.0874857142857143","3.11907888145063"
"GPC1","GPC1","202756_s_at","0.110386466165414","3.92771391907875"
"MMP14","MMP14","202828_s_at","0.0908601503759399","3.23823161796895"
"DNAJB9","DNAJB9","202842_s_at","0.0991165413533835","3.52976820435657"
"DNAJB9","DNAJB9","202843_at","0.104580451127820","3.72270112242223"
"IL8","IL8","202859_x_at","0.0959503759398496","3.41796959172764"
"ADM","ADM","202912_at","0.0909270676691729","3.24059449531969"
"LOXL2","LOXL2","202998_s_at","0.0907398496240601","3.23398374857435"
"CHSY1","CHSY1","203044_at","0.106297744360902","3.78333945803002"
"NINJ1","NINJ1","203045_at","0.0881511278195488","3.14257490903947"
"KLHL21","KLHL21","203068_at","0.127386466165413","4.52799096290207"
"WTAP","WTAP","203137_at","0.109158646616541","3.88435910207017"
"FBN2","FBN2","203184_at","0.100806015037594","3.58942422016688"
"TGIF1","TGIF1","203313_s_at","0.0899338345864661","3.20552302363058"
"COL5A1","COL5A1","203325_s_at","0.112154135338346","3.99013104999554"
"STX4","STX4","203530_s_at","0.0891052631578947","3.17626582317533"
"MAP4K5","MAP4K5","203552_at","0.0900706766917294","3.21035497506694"
"NFIL3","NFIL3","203574_at","0.0878383458646616","3.13153044861353"
"FRZB","FRZB","203697_at","0.0976015037593985","3.47627159916842"
"FRZB","FRZB","203698_s_at","0.118871428571429","4.2273214573161"
"PDE4B","PDE4B","203708_at","0.0885007518796993","3.15492027946751"
"EMP3","EMP3","203729_at","0.0932932330827067","3.32414477647458"
"RBMS1","RBMS1","203748_x_at","0.0950443609022556","3.38597782534962"
"RGS3","RGS3","203823_at","0.108555639097744","3.86306665672977"
"RPS6KA3","RPS6KA3","203843_at","0.0881473684210526","3.14244216312089"
"ACVR1","ACVR1","203935_at","0.22106015037594","7.83564756536895"
"WWP2","WWP2","204022_at","0.116042857142857","4.12744342817573"
"NID2","NID2","204114_at","0.125305263157895","4.45450282237565"
"KIAA0999","KIAA0999","204157_s_at","0.093112030075188","3.31774642319898"
"RLF","RLF","204243_at","0.0990586466165414","3.52772391721043"
"COL11A1","COL11A1","204320_at","0.201497744360902","7.14489090344077"
"COL16A1","COL16A1","204345_at","0.189248120300752","6.7123516023364"
"FGF2","FGF2","204421_s_at","0.116187969924812","4.13256742063296"
"NUPL1","NUPL1","204435_at","0.0926902255639098","3.30285233113419"
"CXCL1","CXCL1","204470_at","0.0934172932330827","3.32852539178775"
"GEM","GEM","204472_at","0.105493233082707","3.7549318314537"
"MMP1","MMP1","204475_at","0.114313533834586","4.06638030562845"
"CD44","CD44","204489_s_at","0.106426315789474","3.78787936844551"
"CD44","CD44","204490_s_at","0.124936842105263","4.44149372235469"
"HIVEP1","HIVEP1","204512_at","0.119327819548872","4.24343681183182"
"COL9A3","COL9A3","204724_s_at","0.26676992481203","9.44967864021178"
"CSPG4","CSPG4","204736_s_at","0.280741353383459","9.94301557202628"
"PTGS2","PTGS2","204748_at","0.121644360902256","4.32523484686146"
"SMAD7","SMAD7","204790_at","0.102018045112782","3.6322215043174"
"PDPN","PDPN","204879_at","0.148335338345865","5.26770431960294"
"INHBA","INHBA","204926_at","0.224692481203007","7.9639066719019"
"TNFRSF11B","TNFRSF11B","204932_at","0.108863157894737","3.87392527286972"
"TNFRSF11B","TNFRSF11B","204933_s_at","0.142663157894737","5.0674172776479"
"DDX3Y","DDX3Y","205000_at","0.0953323308270677","3.39614616271292"
"FOXN3","FOXN3","205021_s_at","0.149934586466165","5.32417443336728"
"ENPP1","ENPP1","205065_at","0.106176691729323","3.77906503945171"
"ENPP1","ENPP1","205066_s_at","0.0873781954887218","3.11528234817921"
"GFPT2","GFPT2","205100_at","0.087021052631579","3.10267148591402"
"MAFF","MAFF","205193_at","0.0986992481203007","3.51503340739408"
"RELB","RELB","205205_at","0.110363909774436","3.92691744356725"
"IL6","IL6","205207_at","0.120147368421053","4.2723754220825"
"LIF","LIF","205266_at","0.250272180451128","8.86713645111086"
"BMP2","BMP2","205289_at","0.197489473684211","7.00335720504972"
"BMP2","BMP2","205290_s_at","0.231130827067669","8.19124733206376"
"CCL20","CCL20","205476_at","0.105717293233083","3.76284348820113"
"SRPX2","SRPX2","205499_at","0.131484210526316","4.6726840141554"
"PTPN14","PTPN14","205503_at","0.130029323308271","4.62131134366455"
"HAPLN1","HAPLN1","205523_at","0.268180451127819","9.49948490886336"
"BTG3","BTG3","205548_s_at","0.106761654135338","3.79972030438291"
"HRH1","HRH1","205579_at","0.107696240601504","3.83272093974217"
"HRH1","HRH1","205580_s_at","0.0970774436090226","3.45776681811823"
"COMP","COMP","205713_s_at","0.226060902255639","8.0122261862654"
"OSMR","OSMR","205729_at","0.115329323308271","4.10224825282907"
"MMP3","MMP3","205828_at","0.213558646616541","7.57076635943238"
"COL10A1","COL10A1","205941_s_at","0.0920473684210527","3.28015277905683"
"MMP13","MMP13","205959_at","0.271561654135338","9.61887658803513"
"TNFAIP6","TNFAIP6","206025_s_at","0.112643609022556","4.00741456859477"
"TNFAIP6","TNFAIP6","206026_s_at","0.114975939849624","4.08977013648244"
"MATN3","MATN3","206091_at","0.160537593984962","5.69857102213318"
"PTX3","PTX3","206157_at","0.112642857142857","4.00738801941106"
"BMP6","BMP6","206176_at","0.150527819548872","5.34512173931937"
"ABL2","ABL2","206411_s_at","0.0934781954887218","3.33067587566877"
"HAS2","HAS2","206432_at","0.0948977443609023","3.38080073452496"
"EPYC","EPYC","206439_at","0.190965413533835","6.77298993794422"
"MIA","MIA","206560_s_at","0.132579699248120","4.71136617482989"
"MAP4K4","MAP4K4","206571_s_at","0.0939015037593985","3.34562306610099"
"EFEMP2","EFEMP2","206580_s_at","0.0915586466165414","3.2628958096413"
"SPAG9","SPAG9","206748_s_at","0.120359398496241","4.27986229189047"
