tName	tStart	tEnd	qName
chr1	103115586	103346483	204320_at
chr1	103115535	103346483	37892_at
chr1	13782934	13815176	204879_at
chr1	30958582	30969474	206905_s_at
chr1	40399647	40479178	204243_at
chr1	115630061	115682380	206814_at
chr1	144236346	144255225	206766_at
chr1	153432020	153444312	209561_at
chr2	20055293	20075936	206091_at
chr2	64535165	64539300	219998_at
chr4	5067218	5072100	219837_s_at
chr5	34055558	34079056	220988_s_at
chr5	83274836	83716058	207379_at
chr5	66474405	66474878	222348_at
chr5	82972492	83052454	205523_at
chr5	82972958	83052652	205524_s_at
chr5	131635768	131635924	214175_x_at
chr6	7672008	7826726	206176_at
chr6	70982456	71069507	222008_at
chr6	33238448	33268221	213870_at
chr6	33239148	33267995	216993_s_at
chr6	116546813	116553756	205941_s_at
chr6	116546882	116553989	217428_s_at
chr6	160032016	160034263	215078_at
chr8	122694720	122722811	206432_at
chr8	134272493	134310753	206796_at
chr8	141601643	141605441	213310_at
chr9	86082911	86173233	220475_at
chrX	99726485	99741534	220065_at
chr10	73394125	73443322	32094_at
chr10	5035397	5036037	217626_at
chr10	4995623	4996264	217626_at
chr11	65178392	65186951	209878_s_at
chr11	65416182	65424461	204420_at
chr11	102211742	102219550	205828_at
chr11	102238685	102250889	204580_at
chr11	102318933	102331672	205959_at
chr12	22669275	22729913	219017_at
chr12	23578080	23620039	207336_at
chr12	89881592	89922938	206439_at
chr12	129213423	129216227	219764_at
chr13	24773768	24808478	204435_at
chr13	52175404	52211837	206309_at
chr14	95799766	95800848	207510_at
chr15	87147993	87218835	205679_x_at
chr15	87147993	87218835	207692_s_at
chr15	73753719	73754663	214297_at
chr15	87202496	87218830	217161_x_at
chr16	17103257	17107622	213725_x_at
chr17	23108341	23150037	210037_s_at
chr19	50186228	50233292	205205_at
chr19	45973217	45975236	206560_s_at
chr20	3861712	3944036	204669_s_at
chr20	3862215	3944192	210706_s_at
chr20	6696310	6708927	205289_at
chr20	43355500	43367645	207123_s_at
chr22	28966442	28972748	205266_at
