#bin	matches	misMatches	repMatches	nCount	qNumInsert	qBaseInsert	tNumInsert	tBaseInsert	strand	qName	qSize	qStart	qEnd	tName	tSize	tStart	tEnd	blockCount	blockSizes	qStarts	tStarts
1426	2975	5	725	0	2	8	20	78986	-	206285_at	3713	0	3713	chr2	242951149	110237176	110319867	22	1018,372,356,45,74,113,100,77,83,111,75,129,95,85,211,104,102,193,125,61,74,102,	0,1025,1398,1754,1799,1873,1986,2086,2163,2246,2357,2432,2561,2656,2741,2952,3056,3158,3351,3476,3537,3611,	110237176,110238201,110238573,110240502,110244051,110246544,110258407,110259358,110261618,110262781,110265047,110274992,110276468,110277913,110279385,110279917,110283317,110284671,110293288,110294489,110316286,110319765,
1426	713	0	0	12	1	1	4	26218	-	238843_at	735	1	727	chr2	242951149	110292906	110319849	6	481,26,61,74,74,9,	8,490,516,577,651,725,	110292906,110293387,110294489,110316286,110319765,110319840,
1426	713	0	0	12	1	1	4	26218	-	238844_s_at	735	1	727	chr2	242951149	110292906	110319849	6	481,26,61,74,74,9,	8,490,516,577,651,725,	110292906,110293387,110294489,110316286,110319765,110319840,
202	1858	1	200	0	0	0	14	65935	-	220841_s_at	2075	0	2059	chr6	170899992	135750614	135818608	15	250,121,27,197,141,131,119,107,230,124,133,153,186,96,44,	16,266,387,414,611,752,883,1002,1109,1339,1463,1596,1749,1935,2031,	135750614,135757606,135767781,135774178,135789997,135791459,135792712,135794038,135795857,135801205,135805412,135809838,135811120,135816171,135818564,
202	1858	1	200	0	0	0	14	65935	-	220842_at	2075	0	2059	chr6	170899992	135750614	135818608	15	250,121,27,197,141,131,119,107,230,124,133,153,186,96,44,	16,266,387,414,611,752,883,1002,1109,1339,1463,1596,1749,1935,2031,	135750614,135757606,135767781,135774178,135789997,135791459,135792712,135794038,135795857,135801205,135805412,135809838,135811120,135816171,135818564,
202	4803	1	463	0	0	0	25	203002	-	221569_at	5277	1	5268	chr6	170899992	135646816	135855085	26	1662,103,59,98,163,56,121,27,197,141,131,119,107,230,124,133,153,186,96,193,220,182,560,54,125,27,	9,1671,1774,1833,1931,2094,2150,2271,2298,2495,2636,2767,2886,2993,3223,3347,3480,3633,3819,3915,4108,4328,4510,5070,5124,5249,	135646816,135653253,135663330,135681349,135685992,135720962,135757606,135767781,135774178,135789997,135791459,135792712,135794038,135795857,135801205,135805412,135809838,135811120,135816171,135818564,135820324,135825955,135828644,135830411,135853453,135855058,
1620	383	0	167	13	9	10	2	2	-	244699_at	605	0	573	chr6	170899992	135664821	135665386	11	8,423,5,18,17,4,4,10,4,8,62,	32,40,464,470,490,508,513,518,529,534,543,	135664821,135664830,135665253,135665258,135665277,135665294,135665298,135665302,135665312,135665316,135665324,
1621	489	3	193	4	2	2	2	2	-	232461_at	713	0	691	chr6	170899992	135853290	135853981	5	458,179,21,8,23,	22,481,660,681,690,	135853290,135853748,135853928,135853950,135853958,
163	3159	0	113	8	1	1	28	61024	+	1552763_at	3322	6	3287	chr8	146274826	94836330	94900634	30	211,89,94,60,40,70,75,63,155,109,87,66,157,124,106,57,99,99,87,100,140,141,81,117,117,105,103,143,144,241,	6,217,306,400,461,501,571,646,709,864,973,1060,1126,1283,1407,1513,1570,1669,1768,1855,1955,2095,2236,2317,2434,2551,2656,2759,2902,3046,	94836330,94837181,94839886,94845245,94845305,94846809,94846975,94853992,94861996,94862277,94863061,94863798,94866625,94867626,94869247,94872666,94874601,94876812,94877304,94878537,94878734,94881021,94885007,94886165,94890243,94890460,94891188,94896708,94897775,94900393,
163	3159	0	113	8	1	1	28	61024	+	1552765_x_at	3322	6	3287	chr8	146274826	94836330	94900634	30	211,89,94,60,40,70,75,63,155,109,87,66,157,124,106,57,99,99,87,100,140,141,81,117,117,105,103,143,144,241,	6,217,306,400,461,501,571,646,709,864,973,1060,1126,1283,1407,1513,1570,1669,1768,1855,1955,2095,2236,2317,2434,2551,2656,2759,2902,3046,	94836330,94837181,94839886,94845245,94845305,94846809,94846975,94853992,94861996,94862277,94863061,94863798,94866625,94867626,94869247,94872666,94874601,94876812,94877304,94878537,94878734,94881021,94885007,94886165,94890243,94890460,94891188,94896708,94897775,94900393,
