#bin	matches	misMatches	repMatches	nCount	qNumInsert	qBaseInsert	tNumInsert	tBaseInsert	strand	qName	qSize	qStart	qEnd	tName	tSize	tStart	tEnd	blockCount	blockSizes	qStarts	tStarts
171	6115	28	0	3	3	4	75	224751	-	204320_at	6158	0	6150	chr1	247249719	103115586	103346483	78	66,13,21,8,13,283,71,238,234,69,113,250,54,36,54,108,54,54,108,54,54,54,54,108,54,54,51,3,3,50,108,54,54,108,108,54,90,108,54,30,12,11,54,45,54,45,54,54,108,54,45,54,45,54,45,54,45,54,45,54,54,54,54,54,57,84,75,63,42,63,255,93,117,129,163,214,168,267,	8,74,87,108,116,129,414,485,723,957,1026,1139,1389,1443,1479,1533,1641,1695,1749,1857,1911,1965,2019,2073,2181,2235,2289,2341,2344,2347,2397,2505,2559,2613,2721,2829,2883,2973,3081,3135,3166,3178,3189,3243,3288,3342,3387,3441,3495,3603,3657,3702,3756,3801,3855,3900,3954,3999,4053,4098,4152,4206,4260,4314,4368,4425,4509,4584,4647,4689,4752,5007,5100,5217,5346,5509,5723,5891,	103115586,103115654,103115668,103115690,103115699,103115713,103115999,103116071,103117826,103119840,103121342,103124950,103126720,103126866,103127009,103127598,103128594,103136268,103136809,103137084,103150302,103151780,103152495,103152847,103153774,103158454,103159661,103159712,103161479,103161483,103172592,103173203,103177178,103178470,103184992,103200009,103200319,103200796,103203630,103208362,103208392,103208405,103212973,103216851,103217003,103217203,103217525,103222281,103225776,103227661,103234007,103234132,103235223,103236453,103240068,103240571,103240890,103241358,103242587,103242751,103243981,103244211,103244405,103246606,103250556,103252654,103253811,103255963,103256961,103259850,103260885,103263664,103264359,103269259,103312761,103316801,103320948,103346216,
171	5416	5	0	409	21	390	73	225118	-	37892_at	6220	0	6220	chr1	247249719	103115535	103346483	81	37,444,186,72,234,20,117,23,173,28,15,54,21,13,74,54,54,108,40,14,54,54,54,108,54,45,38,3,3,50,99,9,8,47,54,100,99,54,91,57,54,54,40,46,54,45,54,54,108,54,45,54,45,54,45,54,21,20,22,45,54,54,54,54,54,57,84,75,63,42,63,217,22,93,117,129,163,214,91,41,259,	0,46,491,704,776,1010,1075,1192,1269,1442,1517,1532,1586,1608,1622,1696,1750,1804,1912,1954,1968,2022,2076,2130,2238,2292,2359,2398,2401,2404,2454,2554,2563,2572,2619,2673,2790,2889,2943,3084,3141,3195,3249,3302,3348,3402,3447,3501,3555,3663,3717,3762,3816,3861,3915,3960,4014,4038,4093,4115,4160,4214,4268,4322,4376,4430,4487,4571,4646,4709,4751,4814,5047,5069,5162,5279,5408,5571,5785,5895,5961,	103115535,103115581,103116025,103116237,103117826,103119840,103121338,103124950,103125027,103126720,103126887,103127009,103127598,103127619,103127632,103128594,103136268,103136809,103137084,103137124,103150302,103151780,103152495,103152847,103153774,103158454,103159674,103159712,103161479,103161483,103172592,103172691,103173202,103173210,103177178,103178470,103185001,103200009,103200319,103200847,103203630,103208362,103212973,103216850,103217003,103217203,103217525,103222281,103225776,103227661,103234007,103234132,103235223,103236453,103240068,103240571,103240890,103240912,103241390,103242587,103242751,103243981,103244211,103244405,103246606,103250556,103252654,103253811,103255963,103256961,103259850,103260885,103261118,103263664,103264359,103269259,103312761,103316801,103320948,103321058,103346224,
593	705	0	0	0	0	0	4	2023	-	224553_s_at	705	0	705	chr1	247249719	1129086	1131814	5	125,182,88,123,187,	0,125,307,395,518,	1129086,1129297,1129641,1130612,1131627,
690	835	14	0	0	4	4	9	31393	+	204879_at	865	0	853	chr1	247249719	13782934	13815176	14	112,135,134,130,39,112,30,11,27,19,29,23,23,25,	0,112,247,381,511,550,662,693,705,733,753,782,805,828,	13782934,13783047,13806254,13809468,13812768,13813381,13814986,13815016,13815027,13815054,13815073,13815103,13815127,13815151,
690	1305	0	199	13	3	4	0	0	+	226658_at	1555	0	1521	chr1	247249719	13815522	13817039	4	1215,86,204,12,	0,1216,1304,1509,	13815522,13816737,13816823,13817027,
821	2355	2	56	0	1	1	7	8479	-	206905_s_at	2414	0	2414	chr1	247249719	30958582	30969474	9	99,384,81,153,417,126,223,347,583,	0,100,484,565,718,1135,1261,1484,1831,	30958582,30958681,30959680,30960590,30961342,30962223,30964168,30966838,30968891,
893	6156	6	66	0	0	0	7	73303	+	204243_at	6229	1	6229	chr1	247249719	40399647	40479178	8	248,155,82,133,203,137,142,5128,	1,249,404,486,619,822,959,1101,	40399647,40427313,40429030,40433890,40440670,40460832,40469775,40474050,
894	1015	2	469	12	0	0	0	0	-	232542_at	1499	1	1499	chr1	247249719	40536790	40538288	1	1498,	0,	40536790,
1271	942	0	0	5	2	2	0	0	+	228314_at	965	0	949	chr1	247249719	89956732	89957679	3	418,55,474,	0,419,475,	89956732,89957150,89957205,
1371	969	1	0	16	0	0	0	0	-	229271_x_at	1006	0	986	chr1	247249719	103114616	103115602	1	986,	20,	103114616,
1467	1046	1	0	0	0	0	2	51272	-	206814_at	1047	0	1047	chr1	247249719	115630061	115682380	3	890,124,33,	0,890,1014,	115630061,115637770,115682347,
1494	717	5	0	5	1	1	0	0	-	230438_at	758	0	728	chr1	247249719	119227192	119227919	2	464,263,	30,495,	119227192,119227656,
1500	2317	3	0	21	8	14	2	5	-	227080_at	2388	0	2355	chr1	247249719	119963567	119965913	9	694,258,949,21,63,18,281,49,8,	33,728,989,1939,1965,2029,2048,2330,2380,	119963567,119964261,119964521,119965470,119965494,119965557,119965575,119965856,119965905,
1685	5167	3	0	0	0	0	29	13709	+	206766_at	5189	0	5170	chr1	247249719	144236346	144255225	30	128,112,110,92,115,128,149,151,166,74,145,149,144,204,131,167,143,114,86,142,93,77,90,85,114,81,114,96,114,1656,	0,128,240,350,442,557,685,834,985,1151,1225,1370,1519,1663,1867,1998,2165,2308,2422,2508,2650,2743,2820,2910,2995,3109,3190,3304,3400,3514,	144236346,144238969,144239284,144239610,144239926,144241623,144242234,144243471,144243813,144244113,144244411,144244768,144245154,144245439,144246245,144247091,144247354,144248209,144248532,144248779,144249093,144249345,144249574,144250080,144250336,144250721,144251039,144252797,144253158,144253569,
1755	3123	4	0	0	0	0	22	9165	-	209561_at	3127	0	3127	chr1	247249719	153432020	153444312	23	294,140,173,197,49,179,194,53,119,160,108,111,153,78,141,149,52,83,27,103,257,207,100,	0,294,434,607,804,853,1032,1226,1279,1398,1558,1666,1777,1930,2008,2149,2298,2350,2433,2460,2563,2820,3027,	153432020,153432401,153433455,153433877,153434294,153434456,153434823,153436218,153436409,153436865,153437311,153437508,153437831,153438371,153438675,153439226,153439500,153439637,153439927,153441269,153441474,153442614,153444212,
1872	2172	2	0	63	12	20	4	19134	+	226337_at	2345	0	2257	chr1	247249719	168767893	168789264	16	156,240,104,4,14,4,27,20,11,29,143,873,2,9,7,594,	0,156,397,502,507,521,526,554,575,587,625,768,1642,1645,1655,1663,	168767893,168774974,168775214,168775318,168775322,168778255,168778259,168778286,168778306,168778317,168780467,168787779,168788652,168788654,168788663,168788670,
2069	1649	3	133	10	1	1	0	0	-	234103_at	1796	0	1796	chr1	247249719	194553761	194555556	2	1678,117,	0,1679,	194553761,194555439,
2206	242	2	305	4	0	0	1	1	-	244533_at	557	0	553	chr1	247249719	212595915	212596469	2	8,545,	4,12,	212595915,212595924,
